"age","variable","n","min","max","median","q1","q3","iqr","mad","mean_fertility","sd","se","ci"
3,"offspring",2108,0,1,0,0,1,1,0,0.271,0.445,0.01,0.019
4,"offspring",1823,0,1,1,0,1,1,0,0.66,0.474,0.011,0.022
5,"offspring",1608,0,1,1,0,1,1,0,0.652,0.477,0.012,0.023
6,"offspring",1370,0,1,1,0,1,1,0,0.723,0.448,0.012,0.024
7,"offspring",1170,0,1,1,0,1,1,0,0.746,0.435,0.013,0.025
8,"offspring",1021,0,1,1,0,1,1,0,0.738,0.44,0.014,0.027
9,"offspring",896,0,1,1,1,1,0,0,0.751,0.433,0.014,0.028
10,"offspring",780,0,1,1,0,1,1,0,0.74,0.439,0.016,0.031
11,"offspring",665,0,1,1,0,1,1,0,0.701,0.458,0.018,0.035
12,"offspring",568,0,1,1,0,1,1,0,0.722,0.448,0.019,0.037
13,"offspring",494,0,1,1,0,1,1,0,0.686,0.464,0.021,0.041
14,"offspring",424,0,1,1,0,1,1,0,0.66,0.474,0.023,0.045
15,"offspring",343,0,1,1,0,1,1,0,0.694,0.462,0.025,0.049
16,"offspring",290,0,1,1,0,1,1,0,0.603,0.49,0.029,0.057
17,"offspring",222,0,1,1,0,1,1,0,0.545,0.499,0.033,0.066
18,"offspring",173,0,1,1,0,1,1,0,0.566,0.497,0.038,0.075
19,"offspring",146,0,1,0,0,1,1,0,0.473,0.501,0.041,0.082
20,"offspring",101,0,1,0,0,1,1,0,0.475,0.502,0.05,0.099
21,"offspring",79,0,1,0,0,1,1,0,0.405,0.494,0.056,0.111
22,"offspring",57,0,1,0,0,1,1,0,0.298,0.462,0.061,0.122
23,"offspring",37,0,1,0,0,0,0,0,0.135,0.347,0.057,0.116
24,"offspring",26,0,1,0,0,0,0,0,0.115,0.326,0.064,0.132
